1007 CEA7 AC1F 3681 EC88 0468;-60.5;1584027279555440;1
9013 4BC1 F1CE 3781 AEA1 0012;-52;1584027279557185;1
3005 FB63 AC1F 3681 EC88 1318;-60.5;1584027279561272;1
3000 0000 0000 0000 0001 7864;-60;1584027279565995;1
3005 FB63 AC1F 3681 EC88 05A9;-55;1584027279567070;1
E280 6890 0000 0000 1834 4F88;-61;1584027279568649;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279571866;1
3005 FB63 AC1F 3681 EC88 14A0;-54;1584027279573507;1
3005 FB63 AC1F 3681 EC88 149C;-57;1584027279576882;1
2005 FB63 EAC1 3681 E5C6 02A1;-58.5;1584027279577973;1
E280 6890 0000 0000 1834 5CCE;-62.5;1584027279579228;1
3025 AB20 CA1F 3681 CF10 1116;-50.5;1584027279582872;1
3005 FB63 AC1F 3681 EC88 0468;-58.5;1584027279584668;1
3005 FB63 AC1F 3681 EC88 0468;-56.5;1584027279593276;1
2005 FB63 CE45 3265 E5C6 1473;-58;1584027279595182;1
1007 FB63 AC1F 3681 EC88 0468;-57.5;1584027279598494;1
3005 FB63 AC1F 3681 EC88 11B0;-58;1584027279602280;1
3005 FB63 AC1F 3681 EC88 132C;-63.5;1584027279610076;1
2005 FB63 EAC1 3681 E5C6 0293;-63.5;1584027279618424;1
3005 FB63 AC1F 3681 EC88 1166;-61;1584027279623993;1
3005 FB63 AC1F 3681 EC88 149C;-57.5;1584027279633424;1
3005 FB63 AC1F 3681 EC88 05A9;-55.5;1584027279634642;1
E280 6890 0000 0000 1834 4F88;-61;1584027279635664;1
3005 FB63 AC1F 3681 EC88 11B0;-58;1584027279637037;1
3005 FB63 AC1F 3681 EC88 1318;-60.5;1584027279638208;1
3005 FB63 AC1F 3681 EC88 14A0;-54;1584027279640951;1
9013 4BC1 F1CE 3781 AEA1 0012;-52.5;1584027279642592;1
1007 FB63 AC1F 3681 EC88 0468;-57.5;1584027279643703;1
3025 AB20 CA1F 3681 CF10 1116;-50.5;1584027279645424;1
E280 6890 0000 0000 1834 5CCE;-63.5;1584027279647176;1
3005 FB63 AC1F 3681 EC88 0468;-57;1584027279648273;1
2005 FB63 CE45 3265 E5C6 1473;-58;1584027279649882;1
3000 0000 0000 0000 0001 7864;-60;1584027279651209;1
2005 FB63 EAC1 3681 E5C6 02A1;-59;1584027279653557;1
1007 CEA7 AC1F 3681 EC88 0468;-60.5;1584027279656120;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279657964;1
3005 FB63 AC1F 3681 EC88 0468;-58.5;1584027279664098;1
3005 FB63 AC1F 3681 EC88 132C;-62.5;1584027279679465;1
2005 FB63 EAC1 3681 E5C6 0293;-62.5;1584027279692812;1
3005 FB63 AC1F 3681 EC88 1318;-60.5;1584027279743418;1
3000 0000 0000 0000 0001 7864;-60;1584027279749613;1
3005 FB63 AC1F 3681 EC88 12B7;-61.5;1584027279752706;1
2005 FB63 EAC1 3681 E5C6 02A1;-58.5;1584027279758627;1
3005 FB63 AC1F 3681 EC88 0468;-57;1584027279760040;1
1007 CEA7 AC1F 3681 EC88 0468;-61;1584027279761110;1
3005 FB63 AC1F 3681 EC88 14A0;-54;1584027279762194;1
9013 4BC1 F1CE 3781 AEA1 0012;-52;1584027279764198;1
3025 AB20 CA1F 3681 CF10 1116;-50.5;1584027279766367;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279767467;1
2005 FB63 CE45 3265 E5C6 1473;-58;1584027279768880;1
3005 FB63 AC1F 3681 EC88 0468;-58.5;1584027279769950;1
3005 FB63 AC1F 3681 EC88 11B0;-58;1584027279771024;1
E280 6890 0000 0000 1834 5CCE;-63;1584027279772107;1
3005 FB63 AC1F 3681 EC88 05A9;-55.5;1584027279773477;1
E280 6890 0000 0000 1834 4F88;-60.5;1584027279778710;1
3005 FB63 AC1F 3681 EC88 149C;-57.5;1584027279780705;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279781759;1
E280 6890 0000 0000 1834 580A;-69.5;1584027279785167;1
0000 FB63 AC1F 3681 EC88 0468;-61;1584027279800841;1
3005 FB63 AC1F 3681 EC88 1501;-60;1584027279810343;1
2005 FB63 EAC1 3681 E4EC 0FE9;-59;1584027279821818;1
1007 CEA7 AC1F 3681 EC88 0468;-60.5;1584027279830166;1
3005 FB63 AC1F 3681 EC88 1318;-60.5;1584027279831293;1
3005 FB63 AC1F 3681 EC88 149C;-57.5;1584027279832606;1
2005 FB63 CE45 3265 E5C6 1473;-58;1584027279833689;1
3005 FB63 AC1F 3681 EC88 14A0;-54;1584027279835016;1
3005 FB63 AC1F 3681 EC88 11B0;-58;1584027279836376;1
3005 FB63 AC1F 3681 EC88 05A9;-55;1584027279837946;1
3005 FB63 AC1F 3681 EC88 12B7;-62;1584027279839054;1
E280 6890 0000 0000 1834 5CCE;-63;1584027279842411;1
3025 AB20 CA1F 3681 CF10 1116;-50.5;1584027279843773;1
1007 FB63 AC1F 3681 EC88 0468;-58.5;1584027279845869;1
9013 4BC1 F1CE 3781 AEA1 0012;-52;1584027279847045;1
3005 FB63 AC1F 3681 EC88 0468;-57;1584027279849919;1
2005 FB63 EAC1 3681 E5C6 02A1;-58.5;1584027279850969;1
3000 0000 0000 0000 0001 7864;-60;1584027279852180;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279855275;1
E280 6890 0000 0000 1834 4F88;-60.5;1584027279857231;1
3005 FB63 AC1F 3681 EC88 0468;-58.5;1584027279858600;1
0000 FB63 AC1F 3681 EC88 0468;-61;1584027279870963;1
E280 6890 0000 0000 1834 580A;-69;1584027279884140;1
3005 FB63 AC1F 3681 EC88 1501;-60;1584027279896988;1
3000 0000 0000 0000 0001 7864;-59.5;1584027279939537;1
3025 AB20 CA1F 3681 CF10 1116;-50.5;1584027279942132;1
2005 FB63 CE45 3265 E5C6 1473;-58;1584027279943272;1
3005 FB63 AC1F 3681 EC88 0468;-57;1584027279946748;1
E280 6890 0000 0000 1834 5CCE;-63;1584027279951791;1
3005 FB63 AC1F 3681 EC88 14A0;-54;1584027279953196;1
1007 FB63 AC1F 3681 EC88 0468;-58;1584027279956306;1
3005 FB63 AC1F 3681 EC88 149C;-57.5;1584027279957446;1
9013 4BC1 F1CE 3781 AEA1 0012;-52.5;1584027279958537;1
1007 CEA7 AC1F 3681 EC88 0468;-60;1584027279961128;1
2005 FB63 EAC1 3681 E5C6 02A1;-59;1584027279962236;1
3005 FB63 AC1F 3681 EC88 0468;-58.5;1584027279963351;1
3005 FB63 AC1F 3681 EC88 12B7;-61.5;1584027279966523;1
E280 6890 0000 0000 1834 4F88;-60.5;1584027279968633;1
3005 FB63 AC1F 3681 EC88 1318;-60.5;1584027279969962;1
3005 FB63 AC1F 3681 EC88 05A9;-55.5;1584027279971347;1
1007 FB63 AC1F 3681 EC88 0468;-57.5;1584027279975600;1
3005 FB63 AC1F 3681 EC88 11B0;-58;1584027279976673;1
