// 11/02/2020 16:33:20
// AntennaIDs=1,2,3,4, InventoryMode=Dual_Target, ModeIndex=1000, Population=32, PowerIndex=61, Session=1, ReaderName=192.168.0.10
// Timestamp, EPC, Antenna, RSSI, Channel, Address
1581426438984175,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426439002957,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426439221163,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426439243288,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426439453364,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426439481157,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426439696428,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581426439719410,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426439936450,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426439964554,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426440184073,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426440209637,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426440424557,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426440443163,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426440652747,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581426440676591,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581426440891153,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426440913438,E28068900000000018345317,1,-60.5,865.7,192.168.0.10
1581426441139633,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426441165536,E28068900000000018345317,1,-59.5,865.7,192.168.0.10
1581426441376838,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581426441401406,E28068900000000018345317,1,-59,865.7,192.168.0.10
1581426441619973,E28068900000000018345317,1,-60,865.7,192.168.0.10
1581426441632867,3005FB63AC1F3681EC8812DB,1,-61.5,865.7,192.168.0.10
1581426441640202,1007FB63AC1F3681EC880468,1,-59.5,865.7,192.168.0.10
1581426441663733,E28068900000000018345317,1,-61,865.7,192.168.0.10
1581426441678170,3005FB63AC1F3681EC8812DB,1,-59.5,865.7,192.168.0.10
1581426441687607,1007FB63AC1F3681EC880468,1,-57.5,865.7,192.168.0.10
1581426441919589,1007FB63AC1F3681EC880468,1,-56.5,865.7,192.168.0.10
1581426441939617,3005FB63AC1F3681EC8815B9,1,-56.5,865.7,192.168.0.10
1581426441949129,7336CEF1C1FE3682DEA1004B,1,-61,865.7,192.168.0.10
1581426441963118,3025AB20CA1F3681CF101115,1,-59,865.7,192.168.0.10
1581426441973387,1007FB63AC1F3681EC880468,1,-56,865.7,192.168.0.10
1581426441984391,3005FB63AC1F3681EC8815B9,1,-57.5,865.7,192.168.0.10
1581426441990521,7336CEF1C1FE3682DEA1004B,1,-60.5,865.7,192.168.0.10
1581426442037017,3005FB63AC1F3681EC8812DB,2,-62,865.7,192.168.0.10
1581426442080058,3005FB63AC1F3681EC8812DB,2,-61,865.7,192.168.0.10
1581426442221888,2005FB63EAC13681E4EC0FEC,1,-54.5,865.7,192.168.0.10
1581426442227620,1007CEA7AC1F3681EC880468,1,-55,865.7,192.168.0.10
1581426442233084,3005FB63AC1F3681EC8815B9,1,-53.5,865.7,192.168.0.10
1581426442234494,2005FB63EAC13681E5C6025A,1,-56,865.7,192.168.0.10
1581426442244684,1007FB63AC1F3681EC880468,1,-53.5,865.7,192.168.0.10
1581426442246396,2005FB63EAC13681E4EC0FE9,1,-55,865.7,192.168.0.10
1581426442251080,1007FB63AC1F3681EC880468,1,-57,865.7,192.168.0.10
1581426442253035,3005FB63AC1F3681EC8812DB,1,-57,865.7,192.168.0.10
1581426442256786,3005FB63AC1F3681EC880468,1,-59,865.7,192.168.0.10
1581426442287401,0000FB63AC1F3681EC880468,1,-60,865.7,192.168.0.10
1581426442296980,7336CEF1C1FE3682DEA1004B,1,-60,865.7,192.168.0.10
1581426442306604,1007FB63AC1F3681EC880468,1,-61.5,865.7,192.168.0.10
1581426442314438,2005FB63EAC13681E4EC0FEC,1,-53.5,865.7,192.168.0.10
1581426442316889,3005FB63AC1F3681EC8815B9,1,-53.5,865.7,192.168.0.10
1581426442318873,3005FB63AC1F3681EC8812DB,1,-55.5,865.7,192.168.0.10
1581426442320420,3005FB63AC1F3681EC880468,1,-59.5,865.7,192.168.0.10
1581426442323872,1007FB63AC1F3681EC880468,1,-54,865.7,192.168.0.10
1581426442325997,1007CEA7AC1F3681EC880468,1,-54.5,865.7,192.168.0.10
1581426442327499,1007FB63AC1F3681EC880468,1,-57,865.7,192.168.0.10
1581426442339137,2005FB63EAC13681E4EC0FE9,1,-55,865.7,192.168.0.10
1581426442348675,0000FB63AC1F3681EC880468,1,-58.5,865.7,192.168.0.10
1581426442358237,2005FB63EAC13681E5C6025A,1,-56.5,865.7,192.168.0.10
1581426442396524,2005FB63EAC13681E4EC0FEC,2,-59.5,865.7,192.168.0.10
1581426442434213,2005FB63EAC13681E4EC0FEC,2,-59,865.7,192.168.0.10
1581426442465401,3005FB63AC1F3681EC8812DB,3,-57.5,865.7,192.168.0.10
1581426442483109,3005FB63AC1F3681EC880468,3,-60,865.7,192.168.0.10
1581426442504741,3005FB63AC1F3681EC8812DB,3,-56.5,865.7,192.168.0.10
1581426442522016,3005FB63AC1F3681EC880468,3,-60.5,865.7,192.168.0.10
1581426442606047,3005FB63AC1F3681EC8815B9,1,-54.5,865.7,192.168.0.10
1581426442607435,3005FB63AC1F3681EC8811B0,1,-57.5,865.7,192.168.0.10
1581426442609358,3005FB63AC1F3681EC8812DB,1,-55,865.7,192.168.0.10
1581426442610999,3005FB63AC1F3681EC8805A9,1,-54,865.7,192.168.0.10
1581426442614204,1007FB63AC1F3681EC880468,1,-51.5,865.7,192.168.0.10
1581426442616392,1007FB63AC1F3681EC880468,1,-60,865.7,192.168.0.10
1581426442617517,2005FB63EAC13681E4EC0FEC,1,-54.5,865.7,192.168.0.10
1581426442621374,3005FB63AC1F3681EC880771,1,-51.5,865.7,192.168.0.10
1581426442622453,0000FB63AC1F3681EC880468,1,-56.5,865.7,192.168.0.10
1581426442627804,3005FB63AC1F3681EC8814A8,1,-56,865.7,192.168.0.10
1581426442628939,3005FB63AC1F3681EC88155C,1,-56.5,865.7,192.168.0.10
1581426442634134,1007CEA7AC1F3681EC880468,1,-53,865.7,192.168.0.10
1581426442635221,0000FB63AC1F3681EC880468,1,-53.5,865.7,192.168.0.10
1581426442636371,2005FB63EAC13681E5C602E8,1,-57,865.7,192.168.0.10
